,rank_mtjp,parks_ranked
0,1,Olympic National Park
1,2,Mount Rainier National Park
2,3,Grand Teton National Park
3,4,Death Valley National Park
4,5,Glacier National Park
5,6,Yosemite National Park
6,7,Grand Canyon National Park
7,8,Sequoia National Park
8,9,Great Smoky Mountains National Park
9,10,Denali National Park
10,11,Redwood National Park
11,12,Voyageurs National Park
12,13,Yellowstone National Park
13,14,Rocky Mountain National Park
14,15,Great Sand Dunes National Park
15,16,North Cascades National Park
16,17,Lassen Volcanic National Park
17,18,Zion National Park
18,19,Saguaro National Park
19,20,Shenandoah National Park
20,21,Big Bend National Park
21,22,Canyonlands National Park
22,23,Kings Canyon National Park
23,24,Wrangell St
24,25,Kenai Fjords National Park
25,26,Everglades National Park
26,27,Capitol Reef National Park
27,28,Crater Lake National Park
28,29,Arches National Park
29,30,Badlands National Park
30,31,Isle Royale National Park
31,32,New River Gorge National Park
32,33,Mesa Verde National Park
33,34,Joshua Tree National Park
34,35,Bryce Canyon National Park
35,36,Black Canyon of the Gunnison National Park
36,37,Theodore Roosevelt National Park
37,38,Hawai’i Volcanoes National Park
38,39,Glacier Bay National Park
39,40,Virgin Islands National Park
40,41,Katmai National Park
41,42,Acadia National Park
42,43,Lake Clark National Park
43,44,Great Basin National Park
44,45,Petrified Forest National Park
45,46,Guadalupe Mountains National Park
46,47,Haleakala National Park
47,48,Wind Cave National Park
48,49,White Sands National Park
49,50,Mammoth Cave National Park
50,51,Channel Islands National Park
51,52,Biscayne National Park
52,53,Pinnacles National Park
53,54,Gates of the Arctic National Park
54,55,Kobuk Valley National Park
55,56,Congaree National Park
56,57,American Samoa National Park
57,58,Cuyahoga Valley National Park
58,59,Dry Tortugas National Park
59,60,Carlsbad Caverns National Park
60,61,Hot Springs National Park
61,62,Indiana Dunes National Park
62,63,Gateway Arch National Park
